Data,Hora,Equipe,Liga,Tipo,Ano,Temporada,Simulador,Categoria,Pista,Inicio,Final,Pole,Best Lap,Hat-Trick,Chelem,Campeão,Construtores,Eventos,Transmissão,Já Foi?
11/01/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Monza,8,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=4nCS5AjbtPw,TRUE
18/01/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Laguna Seca,3,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=TRuMFVhHx3c,TRUE
25/01/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Interlagos,4,3,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=rJmCD_ZYJi0,TRUE
01/02/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Barcelona,4,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xPhV0mRScQE,TRUE
08/02/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Spa-Francorchamps,5,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=Khh9VMs3mp0,TRUE
08/02/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Spa-Francorchamps,6,4,-,-,-,-,-,SIM,-,https://www.youtube.com/watch?v=Khh9VMs3mp0,TRUE
12/03/20,21:00,Grip,RacersAv,Road,2020,2020/1,Automobilista,Stock Duplas,Goiania,14,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=F0mCBk18O_4,TRUE
15/04/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,WTCC,Montreal,3,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=dAswl2f0YK0,TRUE
20/04/20,22:00,Grip,Turismo Nacional,Road,2020,2020/2,Automobilista,B,Taruma,8,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xCcIOyuc-Lo,TRUE
20/04/20,22:00,Grip,Turismo Nacional,Road,2020,2020/2,Automobilista,B,Taruma,6,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xCcIOyuc-Lo,TRUE
29/04/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,WTCC,Curitiba,3,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=nQ5AQNi9GQk,TRUE
04/05/20,22:00,Grip,Turismo Nacional,Road,2020,2020/2,Automobilista,B,Interlagos,5,4,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=bouV8y8OmMo,TRUE
04/05/20,22:00,Grip,Turismo Nacional,Road,2020,2020/2,Automobilista,B,Interlagos,3,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=bouV8y8OmMo,TRUE
05/05/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,200 KM Lancer,Taruma,2,3,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=VemIrwiRQas,TRUE
13/05/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,WTCC,Magny Cours,5,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=nyhFxCHBLMU,TRUE
18/05/20,22:00,Grip,Turismo Nacional,Road,2020,2020/2,Automobilista,B,Goiania,17,12,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=OwksEZ4Yir8,TRUE
19/05/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,200 KM AJR,Taruma,2,3,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=RBtBpomgBFE,TRUE
27/05/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,WTCC,Interlagos,4,2,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=7kJGKyLuhrU,TRUE
09/06/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,iRacing,Truck Series,Daytona,32,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=4u8YPnk_gZY,TRUE
10/06/20,21:00,Grip,RacersAv,Road,2020,2020/2,Automobilista,WTCC,Hockenhein,5,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=ngKctYf4sFw,TRUE
23/06/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,iRacing,Truck Series,Chicagoland,34,14,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=XMtSd9d7KtA,TRUE
24/06/20,20:00,Grip,F1BC,Road,2020,2020/2,Automobilista,Marcas,Okayama,6,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=MeH6wVe2qWo,TRUE
07/07/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,iRacing,Truck Series,Texas,36,20,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=E3iEvxXm29k,TRUE
08/07/20,20:00,Grip,F1BC,Road,2020,2020/2,Automobilista,Marcas,Watkins Glen,11,7,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=MW09Oi2fCQ8,TRUE
19/07/20,19:00,Grip,Warmup,Road,2020,2020/3,Automobilista,GT3 Le Mans,Le Mans,7,1,-,-,-,-,-,-,SIM,https://www.youtube.com/watch?v=Lu78Jbi-TcA,TRUE
21/07/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,IRacing,Truck Series,Michigan,25,29,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=0C67mJGfJQU,TRUE
22/07/20,20:00,Grip,F1BC,Road,2020,2020/2,Automobilista,Marcas,Santa Cruz do Sul,7,4,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=cfvSGN_Mt0o,TRUE
04/08/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,IRacing,Truck Series,Pocono,13,4,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=hXAKb2AsT3Q,TRUE
05/08/20,20:00,Grip,F1BC,Road,2020,2020/2,Automobilista,Marcas,Autopolis,3,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=OfCbd0g-Xsg,TRUE
18/08/20,21:30,Grip,Virtual Challenge,Oval,2020,2020/3,IRacing,Truck Series,Charlotte,12,17,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=FSadNozw_rU,TRUE
15/09/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Stock,Brasilia,5,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=NgrXw45WcvU,TRUE
16/09/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Marcas,Brasilia,6,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=jgHzrS6jog0,TRUE
23/09/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Ferrari Challenge,Spielberg,1,4,SIM,-,-,-,-,-,-,https://www.youtube.com/watch?v=iwfr5F4_fh0,TRUE
30/09/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Marcas,Spielberg,3,1,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=AXGhIxM2EAA,TRUE
07/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Ferrari Challenge,Taruma,1,DNF,SIM,-,-,-,-,-,-,https://www.youtube.com/watch?v=xsH7Tx4_bDg,TRUE
13/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Stock,Taruma,1,1,SIM,-,-,-,-,-,-,https://www.youtube.com/watch?v=laIxhgRlkaM,TRUE
14/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Marcas,Taruma,15,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=DtBOarNUI3g,TRUE
21/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Ferrari Challenge,Goiania,1,1,SIM,SIM,SIM,-,-,-,-,https://www.youtube.com/watch?v=UczzZcATYtA,TRUE
27/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Stock,Goiania,16,12,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=6Ti2jk2kKr4,TRUE
28/10/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Marcas,Goiania,11,15,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=w7KCZAQH-Lw,TRUE
04/11/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Ferrari Challenge,Cascavel,1,1,SIM,-,-,-,-,-,-,https://www.youtube.com/watch?v=f2VOPVtHxDg,TRUE
10/11/20,20:00,Grip,F1BC,Road,2020,2020/3,Automobilista,Stock,Cascavel,10,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=39Vr4Q5xsDo,TRUE
